time_unit,group_type,group,feature,n,missing_pct,pearson_target,spearman_target,pearson_log_target,spearman_log_target,abs_spearman_log_target,feature_group
weekly,overall,all,NDWI_median_week,337,0.6982990152193376,0.08241044775367266,0.09851827523303501,0.051854780982972165,0.09851827523303501,0.09851827523303501,spectral
weekly,overall,all,temperature_2m_c_mean,1117,0.0,0.10131633084093046,0.09241012112813178,0.10553188875199968,0.09241700364835954,0.09241700364835954,weather
weekly,overall,all,BGRratio_median_week,337,0.6982990152193376,-0.10020911881399915,-0.09181158808588098,-0.10460940463827839,-0.09181158808588098,0.09181158808588098,spectral
weekly,overall,all,potential_evaporation_mm_sum,1117,0.0,-0.11816223633792523,-0.06645996990892661,-0.06605622306489001,-0.06646729952709297,0.06646729952709297,weather
weekly,overall,all,doy_cos,1117,0.0,0.07704766740775834,0.06158345616043178,0.08348175832095343,0.06157933491225042,0.06157933491225042,season
weekly,overall,all,month_cos,1117,0.0,0.05065966641437459,0.060288461719264136,0.055925740033011616,0.06028548430968961,0.06028548430968961,season
weekly,overall,all,week_cos,1117,0.0,0.06184458853470703,0.0498098467044245,0.06960585806549106,0.04980559173023278,0.04980559173023278,season
weekly,overall,all,Distance_to_River_first,1117,0.0,-0.08678746393425325,-0.03098684633342018,-0.07943926020976609,-0.030991995100442274,0.030991995100442274,static
monthly,overall,all,wind_speed_10m_ms_mean,311,0.0,0.5315137523591834,0.597377979519527,0.5906318041411208,0.5973671277153022,0.5973671277153022,weather
monthly,overall,all,wind_speed_10m_ms_max,311,0.0,0.4720088312213736,0.5165369334212878,0.5302378626557495,0.5165282596845503,0.5165282596845503,weather
monthly,overall,all,rainy_day_sum,311,0.0,-0.4772127310014657,-0.4904576198378021,-0.49869301910121233,-0.4904849326370566,0.4904849326370566,weather
monthly,overall,all,runoff_mm_sum,311,0.0,-0.4050477500238099,-0.4885813207420551,-0.4549085357855585,-0.4885822160904773,0.4885822160904773,weather
monthly,overall,all,runoff_mm_max,311,0.0,-0.3277892989175897,-0.4686174041021329,-0.3706923598221935,-0.4686458226232182,0.4686458226232182,weather
monthly,overall,all,Distance_to_Coast_first,311,0.0,-0.27716665397285567,-0.46349422161731063,-0.4506301508847417,-0.4635125944125876,0.4635125944125876,static
monthly,overall,all,soil_moisture_layer1_vol_mean,311,0.0,-0.3237340987804142,-0.3807299601385627,-0.3890827227385334,-0.3807304350290577,0.3807304350290577,weather
monthly,overall,all,lat_first,311,0.0,-0.3053129684946711,-0.36857184909487123,-0.36967583969585155,-0.3685870046732813,0.3685870046732813,static
monthly,overall,all,precipitation_mm_sum,311,0.0,-0.3353155325623429,-0.35533297579392287,-0.3819193854908919,-0.35536097277049256,0.35536097277049256,weather
monthly,overall,all,solar_radiation_mj_m2_sum,311,0.0,-0.3545930329564363,-0.28400993933265506,-0.3486908019094645,-0.2840584677100863,0.2840584677100863,weather
