time_unit,group_type,group,feature,n,missing_pct,pearson_target,spearman_target,pearson_log_target,spearman_log_target,abs_spearman_log_target,feature_group
weekly,season_group,dry,solar_radiation_mj_m2_sum,1081,0.0,-0.2279991766731671,-0.09986962635258313,-0.1658964742324439,-0.09986901643269037,0.09986901643269037,weather
weekly,season_group,dry,BGRratio_median_week,328,0.696577243293247,-0.1041148321912284,-0.09780190519516581,-0.11232785416753521,-0.09780190519516581,0.09780190519516581,spectral
weekly,season_group,dry,NDWI_median_week,328,0.696577243293247,0.07836229940887636,0.09095006132744204,0.04414437756236562,0.09095006132744204,0.09095006132744204,spectral
weekly,season_group,dry,temperature_2m_c_mean,1081,0.0,0.10303871689326387,0.09072102344361341,0.10403210237059497,0.09072843147827518,0.09072843147827518,weather
weekly,season_group,dry,doy_cos,1081,0.0,0.09362896985161726,0.08078563690352071,0.10584268928206295,0.08078109055078525,0.08078109055078525,season
weekly,season_group,dry,month_cos,1081,0.0,0.06242955187489733,0.07989129186671674,0.07285463498903887,0.07988800104536253,0.07988800104536253,season
weekly,season_group,dry,week_cos,1081,0.0,0.07759860778696769,0.06833316290789174,0.09161036198981164,0.0683284685135724,0.0683284685135724,season
weekly,season_group,dry,potential_evaporation_mm_sum,1081,0.0,-0.11727062896876017,-0.05543804123649875,-0.057051367554802876,-0.055446160784630896,0.055446160784630896,weather
weekly,season_group,dry,Distance_to_River_first,1081,0.0,-0.09631381788065976,-0.036605011326711144,-0.08408808340697362,-0.036610444859592244,0.036610444859592244,static
weekly,season_group,wet,wind_speed_10m_ms_mean,36,0.0,0.11047680604540595,0.44641822838168854,0.3630636275534995,0.44641822838168854,0.44641822838168854,weather
weekly,season_group,wet,wind_speed_10m_ms_max,36,0.0,0.09893019709937395,0.4254634432782761,0.3552785075383355,0.4254634432782761,0.4254634432782761,weather
weekly,season_group,wet,lon_first,36,0.0,0.17832958250778197,0.42245278623440885,0.1549136164461741,0.42245278623440885,0.42245278623440885,static
weekly,season_group,wet,lat_first,36,0.0,-0.19277029109797564,-0.39913705081485457,-0.42612387972638627,-0.39913705081485457,0.39913705081485457,static
weekly,season_group,wet,Distance_to_Coast_first,36,0.0,-0.2408347734725495,-0.2860917395732871,-0.4283054991573904,-0.2860917395732871,0.2860917395732871,static
weekly,season_group,wet,temperature_2m_c_mean,36,0.0,-0.056466679453700444,0.2423891361138176,0.17505305019111536,0.2423891361138176,0.2423891361138176,weather
weekly,season_group,wet,Distance_to_River_first,36,0.0,0.20129780504958159,0.23857726301715515,0.18279914879783468,0.23857726301715515,0.23857726301715515,static
weekly,season_group,wet,DEM_first,36,0.0,-0.1705313291441594,-0.18233389204076747,-0.2303656799406964,-0.18233389204076747,0.18233389204076747,static
weekly,season_group,wet,surface_pressure_hpa_min,36,0.0,-0.03149081174510633,-0.15641091787688519,-0.07262311288161923,-0.15641091787688519,0.15641091787688519,weather
weekly,season_group,wet,s2_available,36,0.0,0.034161476291438495,0.15130268500891317,0.12811407377980666,0.15130268500891317,0.15130268500891317,spectral
weekly,season_group,wet,potential_evaporation_mm_sum,36,0.0,0.04299395738953106,0.11018858232258515,0.1204657929561496,0.11018858232258515,0.11018858232258515,weather
weekly,season_group,wet,soil_moisture_layer1_vol_mean,36,0.0,-0.04509706543049057,-0.10285125849970275,-0.12064248354623956,-0.10285125849970275,0.10285125849970275,weather
weekly,season_group,wet,solar_radiation_mj_m2_sum,36,0.0,-0.10490412006262877,0.06706571424073234,0.039906760743740284,0.06706571424073234,0.06706571424073234,weather
weekly,season_group,wet,runoff_mm_sum,36,0.0,0.0657264510239683,-0.057540065768920054,0.03990190590772478,-0.057540065768920054,0.057540065768920054,weather
weekly,season_group,wet,rainy_day_sum,36,0.0,-0.04427016749367433,0.056717962194197696,0.06342903744061074,0.056717962194197696,0.056717962194197696,weather
weekly,season_group,wet,runoff_mm_max,36,0.0,0.02742039135928689,-0.03553038134487268,0.02675870136923789,-0.03553038134487268,0.03553038134487268,weather
weekly,season_group,wet,week_cos,36,0.0,-0.1323667148749515,0.01670203340832053,0.012749203472030214,0.01670203340832053,0.01670203340832053,season
weekly,season_group,wet,week_sin,36,0.0,-0.13236671487495147,0.01670203340832053,0.012749203472030199,0.01670203340832053,0.01670203340832053,season
weekly,season_group,wet,doy_cos,36,0.0,-0.13236671487495144,0.01670203340832053,0.012749203472030212,0.01670203340832053,0.01670203340832053,season
weekly,season_group,wet,doy_sin,36,0.0,-0.1323667148749515,0.01670203340832053,0.012749203472030238,0.01670203340832053,0.01670203340832053,season
weekly,season_group,wet,precipitation_mm_sum,36,0.0,0.038278970522619714,-0.0034755744424179898,0.045844518657345866,-0.0034755744424179898,0.0034755744424179898,weather
weekly,season_group,wet,month_sin,36,0.0,4.2211241266000316e-17,,2.1130975672786509e-16,,,season
weekly,season_group,wet,month_cos,36,0.0,,,,,,season
