system:index,B11_median_week,B12_median_week,BGRratio_median_week,DEM_first,Distance_to_River_first,MNDWI_median_week,NDCI_median_week,NDVI_median_week,NDWI_median_week,Red_SWIR1_median_week,Red_SWIR2_median_week,grid_id,lat_first,lon_first,period_end,period_start,potential_evaporation_mm_sum,precipitation_mm_sum,runoff_mm_max,runoff_mm_sum,s2_available,s2_obs_count,soil_moisture_layer1_vol_mean,solar_radiation_mj_m2_sum,surface_pressure_hpa_min,temperature_2m_c_mean,x,y,.geo
392,0.03564999997615814,0.026650000363588333,2.049211133517824,1,500.0,0.19382609407363202,0.09269346605738066,-0.15291535383792648,0.23028767220124893,1.273045607262623,1.5588838904685,g_107_212,9.566520095313047,105.29615965356633,2023-04-01,2023-03-01,303.41365933418274,5.067756115671784,0.2761930227279663,5.852937698364258,1,4,0.2634041898994036,699.3310891289062,1008.2698893229167,27.702964626845528,106.5,211.5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.29615965356633,9.566520095313047]}"
481,0.06499999761581421,0.05040000006556511,1.878439685426811,4,500.0,0.07854926153558099,0.1838723365371501,-8.687845234620718E-4,0.10783469726479213,0.9442467887956871,1.1944207122705703,g_125_214,9.655283351400929,106.1165226350651,2023-04-01,2023-03-01,259.3958303332329,1.8387191884485787,0.5065053701400757,12.153849005699158,1,3,0.14666516293761553,743.5949431289063,1008.37447265625,26.571963492772966,124.5,213.5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.1165226350651,9.655283351400929]}"
483,0.06894999742507935,0.060499999672174454,2.109943283564383,0,500.0,0.32434998665525316,0.053439441541169586,-0.2171837441240546,0.2992829238395345,1.6444906720922872,1.8807671171932068,g_127_214,9.654975697529348,106.20765390377437,2023-04-01,2023-03-01,304.84355241060257,1.265799342867524,0.33164024353027344,7.524892687797546,1,2,0.2368797179191343,750.7353291289063,1008.59197265625,26.65422050722185,126.5,213.5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.20765390377437,9.654975697529348]}"
498,0.03020000085234642,0.021299999207258224,1.9879574329010068,-1,500.0,0.294113715057264,0.028139836665838924,-0.12209646344608932,0.1487329820634388,1.8484148071158089,2.7414189684987704,g_103_215,9.702298945174569,105.11395350442348,2023-04-01,2023-03-01,354.6627461910248,7.6153629415003365,0.48598647117614746,10.944485664367676,1,3,0.14751934748823922,694.3333191289063,1008.5261393229167,27.805382931617032,102.5,214.5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.11395350442348,9.702298945174569]}"
502,0.05270000174641609,0.045099999755620956,1.8396612745683467,0,500.0,0.4001115508330773,0.08476027465741434,-0.31382813058352993,0.31199837224830534,2.343408908134496,2.7382984182205075,g_107_215,9.702189807817453,105.29627794731846,2023-04-01,2023-03-01,287.86343336105347,5.087619363543183,0.3056824207305908,6.622239947319031,1,1,0.2546903548702117,699.3985291289063,1008.3586393229167,27.68845794841809,106.5,214.5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.29627794731846,9.702189807817453]}"
521,0.0640999972820282,0.05779999867081642,2.1799620362535856,0,500.0,0.3322393841958493,0.03260547665356894,-0.24090348162077552,0.3366678197785342,1.6230306343100978,1.8005569248030306,g_126_215,9.700346908820155,106.1622440518157,2023-04-01,2023-03-01,304.84355241060257,1.265799342867524,0.33164024353027344,7.524892687797546,1,2,0.2368797179191343,750.7353291289063,1008.59197265625,26.65422050722185,125.5,214.5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.1622440518157,9.700346908820155]}"
530,0.026349999010562897,0.023499999195337296,1.7187982758927478,0,500.0,0.617544850053311,0.13117665191914737,-0.37999386879289565,0.35953992974979315,4.7777411633343725,5.345760363221824,g_135_215,9.69871061370702,106.5723551761535,2023-04-01,2023-03-01,,,,,1,4,,0.0,,,134.5,214.5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.5723551761535,9.69871061370702]}"
571,0.07634999603033066,0.05649999901652336,1.863910436593294,1,0.0,0.10922665631563683,0.07865271111242522,-0.06029805665489883,0.07531702778437033,1.1810288419504686,1.5519635144632855,g_101_217,9.792764223894237,105.02279685690334,2023-04-01,2023-03-01,291.1636233329773,8.057510196444184,0.44098496437072754,10.043784976005554,1,4,0.16469768811297672,692.8733111289063,1008.3961393229167,27.790041449762214,100.5,216.5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.02279685690334,9.792764223894237]}"
574,0.02419999986886978,0.01850000023841858,1.8228554782939048,1,0.0,0.48234780300105995,0.15162319437592367,-0.515433293155012,0.5451444285599818,2.6362547002184087,3.448462226598187,g_104_217,9.792727498890764,105.15957778909218,2023-04-01,2023-03-01,287.53309696912766,6.131564914461762,0.2833902835845947,6.151899695396423,1,3,0.2532074630901378,699.1667391289062,1008.40697265625,27.834104894822644,103.5,216.5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.15957778909218,9.792727498890764]}"
674,0.038100000470876694,0.03200000151991844,2.1097409609039346,0,0.0,0.5594123701147461,0.07867564332950092,-0.3016211628297834,0.3591740673799061,2.845069703741328,3.392763851547021,g_134_219,9.879745723632169,106.5276174117719,2023-04-01,2023-03-01,269.65855062007904,0.830342709299714,0.489652156829834,11.74415647983551,1,13,0.13844771026283184,756.7362051289062,1008.9515559895833,26.38058349445305,133.5,218.5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.5276174117719,9.879745723632169]}"
736,0.03189999982714653,0.02810000069439411,2.0168896600576742,0,707.1067811865476,0.4887781389523543,0.06000783663876457,-0.3101029896660668,0.38995951013870656,1.9232520288766988,2.1814169713956284,g_131_221,9.970757861860106,106.39122676964294,2023-04-01,2023-03-01,345.68970650434494,1.5644037120310372,0.37576258182525635,8.696302771568298,1,9,0.1323043248986685,745.5247331289063,1008.8423893229167,26.594526811825347,130.5,220.5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.39122676964294,9.970757861860106]}"
764,0.03060000017285347,0.023000000044703484,1.6771074683561769,1,0.0,0.5135094379653407,0.11469220993413061,-0.2761136416202633,0.18855500144109033,3.2171063508101017,4.043302560991776,g_133_222,10.015572846728523,106.48263912652655,2023-04-01,2023-03-01,276.98709815740585,1.2005471579996652,0.41925907135009766,9.847238659858704,1,7,0.13852170718613496,751.1270571289062,1008.7440559895833,26.46787558114653,132.5,221.5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.48263912652655,10.015572846728523]}"
820,0.09205000102519989,0.08309999853372574,1.9828006091611372,0,500.0,0.300910844950356,0.05166084522322381,-0.23532893438485902,0.27038232341092383,1.7252270275358659,1.9215875058543437,g_127_224,10.107106375970263,106.20930446892227,2023-04-01,2023-03-01,476.68658196926117,2.725070058581025,0.38501620292663574,9.024739265441895,1,2,0.14973297939505628,728.4762671289062,1008.0436393229168,26.71588832896242,126.5,223.5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.20930446892227,10.107106375970263]}"
826,0.04430000111460686,0.029899999499320984,1.858374185629883,-5,0.0,0.4111085731483117,0.15659415731626836,-0.1521889218027677,0.18018532882985291,2.097684542942193,3.3472804606920374,g_133_224,10.105987779502927,106.48305168825802,2023-04-01,2023-03-01,365.99381268024445,1.7753743522135323,0.34305453300476074,8.003905415534973,1,5,0.11033987229870211,745.3912131289062,1008.8015559895833,26.4591363968388,132.5,223.5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.48305168825802,10.105987779502927]}"
