year_month,station_id,observed_days,salinity_mean,salinity_median,salinity_std,salinity_min,salinity_max
2021-02,BEN_LUC,28,2.7035714285714287,2.6,0.578940374884977,2.0,3.9
2021-02,BEN_TRAI,12,12.4,14.6,3.9024467849146784,5.4,16.1
2021-02,BINH_DAI,12,20.45,20.65,1.6306719195138277,16.2,22.6
2021-02,CAU_NOI,28,12.742857142857144,13.0,1.618968252022936,9.6,15.6
2021-02,CAU_QUAN,28,5.603571428571429,5.550000000000001,3.5564737157759643,0.9,12.4
2021-02,DAI_NGAI,28,4.710714285714286,4.4,2.6098586999802182,1.3,9.1
2021-02,GO_QUAO,28,3.085714285714286,3.0,1.492379230355263,0.8,5.7
2021-02,HOA_BINH,28,13.875,13.25,2.3819731938660205,10.2,19.0
2021-02,HUNG_MY,28,10.153571428571428,10.3,2.412388111833666,6.0,14.2
2021-02,HUONG_MY,12,6.133333333333333,6.35,2.9186962635375195,2.4,11.2
2021-02,LOC_THUAN,12,8.4,8.3,1.1622861484630584,6.7,10.4
2021-02,MY_HOA,28,4.660714285714286,4.85,0.7009724915162034,3.2,5.8
2021-02,SON_DOC,12,11.916666666666666,12.0,0.9398581453247783,9.6,13.2
2021-02,TAN_AN,28,1.342857142857143,1.3,0.30602417167732626,1.0,2.0
2021-02,TRAN_DE,28,14.50357142857143,15.8,3.320473208451219,5.2,19.3
2021-02,TRA_KHA,28,11.924999999999999,12.35,3.999317071330683,4.9,17.5
2021-02,TRA_VINH,28,5.085714285714286,4.8,2.660091099207818,1.6,10.3
2021-02,TUYEN_NHON,28,0.1,0.1,0.0,0.1,0.1
2021-02,VAM_KENH,28,19.064285714285713,19.3,1.1486592137870961,16.8,21.3
2021-02,XEO_RO,28,13.317857142857141,13.75,4.209605732521803,6.4,21.6
2021-02,XUAN_KHANH,28,0.1,0.1,0.0,0.1,0.1
2021-03,AN_THUAN,14,27.464285714285715,27.6,1.8776446550264627,24.9,30.0
2021-03,BEN_LUC,31,4.641935483870968,4.4,1.4465531891473116,2.7,6.9
2021-03,BEN_TRAI,14,13.985714285714286,14.5,3.020661451469794,7.2,17.8
2021-03,BINH_DAI,14,25.092857142857145,25.85,1.9574175631386155,21.7,27.5
2021-03,CAU_NOI,31,16.10322580645161,16.0,1.3553557641120753,13.6,18.2
2021-03,CAU_QUAN,31,6.687096774193549,6.7,2.5185633385568407,1.3,12.5
2021-03,DAI_NGAI,31,5.670967741935484,6.1,2.3368345467586558,1.3,9.4
2021-03,GO_QUAO,31,6.345161290322581,5.8,3.5913635952265097,1.0,12.4
2021-03,HOA_BINH,31,17.33225806451613,17.4,1.7346252422880264,14.2,20.0
2021-03,HUNG_MY,31,10.73225806451613,11.1,2.3425608632113413,4.5,14.2
2021-03,HUONG_MY,14,7.178571428571429,6.800000000000001,2.521958509824205,2.7,10.7
2021-03,LOC_THUAN,14,12.342857142857143,12.7,1.1580582459871784,9.5,13.7
2021-03,MY_HOA,31,5.993548387096775,5.7,1.2984440647356794,3.7,8.3
