split,alpha,feature,coefficient
fold_2,46.41588833612782,transformed_21,-0.07894139589899597
fold_2,46.41588833612782,transformed_22,0.03845123185201885
fold_2,46.41588833612782,transformed_23,0.007638684972030241
fold_2,46.41588833612782,transformed_24,-0.0252701968865692
fold_2,46.41588833612782,transformed_25,-0.03872790950141952
fold_2,46.41588833612782,transformed_26,-0.04385130647568378
fold_2,46.41588833612782,transformed_27,0.03843364119990053
fold_2,46.41588833612782,transformed_28,0.023995988119051487
fold_2,46.41588833612782,transformed_29,0.03407734671190993
fold_2,46.41588833612782,transformed_30,0.014504932942168175
fold_2,46.41588833612782,transformed_31,0.0012136885453306878
fold_2,46.41588833612782,transformed_32,-0.0012136885453310764
fold_2,46.41588833612782,transformed_33,-0.0012136885453307156
fold_2,46.41588833612782,transformed_34,-0.0012136885453312707
fold_2,46.41588833612782,transformed_35,-0.0012136885453308544
fold_2,46.41588833612782,transformed_36,-0.0012136885453309099
fold_2,46.41588833612782,transformed_37,-0.0012136885453313262
fold_2,46.41588833612782,transformed_38,-0.0012136885453306046
fold_2,46.41588833612782,transformed_39,-0.0012136885453306046
fold_2,46.41588833612782,transformed_40,-0.0012136885453303548
fold_3,70.17038286703823,transformed_0,-0.004541475981342913
fold_3,70.17038286703823,transformed_1,-0.08499090899469391
fold_3,70.17038286703823,transformed_2,-0.059749793765398816
fold_3,70.17038286703823,transformed_3,-0.0649673835015475
fold_3,70.17038286703823,transformed_4,-0.12649413047240482
fold_3,70.17038286703823,transformed_5,0.030411624690194292
fold_3,70.17038286703823,transformed_6,-0.015346782586704723
fold_3,70.17038286703823,transformed_7,0.032681346698726396
fold_3,70.17038286703823,transformed_8,-0.022165604391388358
fold_3,70.17038286703823,transformed_9,0.01616346986333593
fold_3,70.17038286703823,transformed_10,-0.021199605947259864
fold_3,70.17038286703823,transformed_11,0.08183734777150493
fold_3,70.17038286703823,transformed_12,-0.06942557823947343
fold_3,70.17038286703823,transformed_13,-0.06290175473025084
fold_3,70.17038286703823,transformed_14,-0.10214638959747041
fold_3,70.17038286703823,transformed_15,-0.06201130356137524
fold_3,70.17038286703823,transformed_16,-0.02546290431738199
fold_3,70.17038286703823,transformed_17,0.09919985049752328
fold_3,70.17038286703823,transformed_18,0.09862343606493518
fold_3,70.17038286703823,transformed_19,0.016936629675361956
fold_3,70.17038286703823,transformed_20,-0.04166456885431255
fold_3,70.17038286703823,transformed_21,-0.06306446197370345
fold_3,70.17038286703823,transformed_22,0.03858151256304821
fold_3,70.17038286703823,transformed_23,0.007956282944056425
fold_3,70.17038286703823,transformed_24,-0.029563477785171127
fold_3,70.17038286703823,transformed_25,-0.016012636543849657
fold_3,70.17038286703823,transformed_26,-0.015983876643868918
fold_3,70.17038286703823,transformed_27,0.04020328905569445
fold_3,70.17038286703823,transformed_28,0.03248257065947521
fold_3,70.17038286703823,transformed_29,0.019936021492166812
fold_3,70.17038286703823,transformed_30,0.009285373686704831
fold_3,70.17038286703823,transformed_31,0.004599030560412026
fold_3,70.17038286703823,transformed_32,-0.004599030560411735
fold_3,70.17038286703823,transformed_33,-0.0045990305604116655
fold_3,70.17038286703823,transformed_34,-0.004599030560411818
fold_3,70.17038286703823,transformed_35,-0.004599030560411749
fold_3,70.17038286703823,transformed_36,-0.004599030560411624
fold_3,70.17038286703823,transformed_37,-0.00459903056041186
fold_3,70.17038286703823,transformed_38,-0.004599030560411804
fold_3,70.17038286703823,transformed_39,-0.004599030560412012
fold_3,70.17038286703823,transformed_40,-0.0045990305604117765
fold_4,46.41588833612782,transformed_0,-0.01506069025822862
fold_4,46.41588833612782,transformed_1,-0.16661667513749218
fold_4,46.41588833612782,transformed_2,-0.05494115566389813
fold_4,46.41588833612782,transformed_3,0.0034424991923629605
fold_4,46.41588833612782,transformed_4,-0.0924794290029041
fold_4,46.41588833612782,transformed_5,0.030449918650498065
fold_4,46.41588833612782,transformed_6,-0.02038547849423538
fold_4,46.41588833612782,transformed_7,0.03129182092155651
fold_4,46.41588833612782,transformed_8,-0.028720942253348605
fold_4,46.41588833612782,transformed_9,0.01328879995332885
fold_4,46.41588833612782,transformed_10,-0.025463003091811903
fold_4,46.41588833612782,transformed_11,0.08865162498788302
fold_4,46.41588833612782,transformed_12,-0.08829453136614551
fold_4,46.41588833612782,transformed_13,-0.08194557423187204
fold_4,46.41588833612782,transformed_14,-0.08878948509274737
fold_4,46.41588833612782,transformed_15,-0.021374294846224662
fold_4,46.41588833612782,transformed_16,-0.015184677852306705
fold_4,46.41588833612782,transformed_17,0.12340356926784363
fold_4,46.41588833612782,transformed_18,0.15037048355409421
fold_4,46.41588833612782,transformed_19,-0.0032122210693315834
fold_4,46.41588833612782,transformed_20,-0.0454570079964452
fold_4,46.41588833612782,transformed_21,-0.08509049889916057
fold_4,46.41588833612782,transformed_22,0.028088982974237037
fold_4,46.41588833612782,transformed_23,-0.001970302730675083
fold_4,46.41588833612782,transformed_24,-0.011184360857200093
fold_4,46.41588833612782,transformed_25,-0.022355190529038338
fold_4,46.41588833612782,transformed_26,-0.016079056059915126
fold_4,46.41588833612782,transformed_27,0.04216495391488727
fold_4,46.41588833612782,transformed_28,0.016770657880381346
fold_4,46.41588833612782,transformed_29,-0.002526084672490561
fold_4,46.41588833612782,transformed_30,0.046125280977672566
fold_4,46.41588833612782,transformed_31,0.0009686829577091457
fold_4,46.41588833612782,transformed_32,-0.00096868295770902
fold_4,46.41588833612782,transformed_33,-0.0009686829577086214
fold_4,46.41588833612782,transformed_34,-0.0009686829577085984
fold_4,46.41588833612782,transformed_35,-0.0009686829577088617
fold_4,46.41588833612782,transformed_36,-0.0009686829577088864
fold_4,46.41588833612782,transformed_37,-0.0009686829577092403
fold_4,46.41588833612782,transformed_38,-0.000968682957708902
fold_4,46.41588833612782,transformed_39,-0.000968682957708967
fold_4,46.41588833612782,transformed_40,-0.0009686829577090191
fold_5,46.41588833612782,transformed_0,0.05891813783386338
fold_5,46.41588833612782,transformed_1,-0.1422781622327268
fold_5,46.41588833612782,transformed_2,-0.040097564086197135
fold_5,46.41588833612782,transformed_3,-0.09692664016390598
fold_5,46.41588833612782,transformed_4,-0.07538537637246409
fold_5,46.41588833612782,transformed_5,0.021062380913045624
fold_5,46.41588833612782,transformed_6,-0.016689709768885633
fold_5,46.41588833612782,transformed_7,0.02297915928849642
fold_5,46.41588833612782,transformed_8,-0.022669439307772626
fold_5,46.41588833612782,transformed_9,0.010090899940856116
fold_5,46.41588833612782,transformed_10,-0.020715254012576623
fold_5,46.41588833612782,transformed_11,0.09780672790091416
fold_5,46.41588833612782,transformed_12,-0.07331816651802686
fold_5,46.41588833612782,transformed_13,-0.07642691265829968
fold_5,46.41588833612782,transformed_14,-0.09365546126790228
fold_5,46.41588833612782,transformed_15,-0.052798612683060187
fold_5,46.41588833612782,transformed_16,0.00470771185272903
fold_5,46.41588833612782,transformed_17,0.11516791520015573
fold_5,46.41588833612782,transformed_18,0.1271816248305106
fold_5,46.41588833612782,transformed_19,0.01615877536786052
